Time (m:s:mu_s):,Bus Voltage (V):,Shunt Voltage (mV):,Load Voltage (V):,Current (mA):,Power (mW):
0.0,0.14,0.00,0.14,-0.20,0.00
1.007221,0.14,-0.02,0.14,-0.40,0.00
2.01524,0.14,-0.01,0.14,-0.20,0.00
3.018738,0.14,-0.02,0.14,-0.20,0.00
4.02625,0.14,-0.03,0.14,-0.50,0.00
5.029379,0.14,0.00,0.14,-0.30,0.00
6.036662,0.14,0.00,0.14,-0.30,0.00
7.040802,0.14,-0.01,0.14,-0.30,0.00
8.048177,0.14,-0.03,0.14,-0.20,0.00
9.056091,0.14,-0.03,0.14,-0.30,0.00
10.059128,0.14,-0.01,0.14,-0.30,0.00
11.067016,0.14,-0.02,0.14,-0.10,0.00
12.070252,0.14,-0.01,0.14,-0.10,0.00
13.077982,0.14,-0.03,0.14,-0.30,0.00
14.081925,0.14,-0.04,0.14,-0.20,0.00
15.089172,0.14,-0.02,0.14,-0.20,0.00
16.092741,0.14,-0.03,0.14,-0.10,0.00
17.100158,0.14,-0.01,0.14,-0.40,0.00
18.107326,0.14,-0.04,0.14,-0.30,0.00
19.111672,0.14,-0.02,0.14,-0.20,0.00
20.118093,0.14,-0.01,0.14,-0.40,0.00
21.122516,0.14,-0.01,0.14,-0.20,0.00
22.130107,0.14,-0.03,0.14,-0.10,0.00
28.539286,0.14,-0.01,0.14,-0.20,0.00
28.597252,0.14,-0.03,0.14,-0.10,0.00
28.725183,0.14,-0.02,0.14,0.00,0.00
28.821124,0.14,-0.03,0.14,-0.20,0.00
28.926064,0.14,-0.02,0.14,-0.20,0.00
29.079975,0.19,0.00,0.19,-0.30,0.00
29.214133,0.49,-0.03,0.49,-0.30,0.00
30.174013,0.48,0.00,0.48,-0.20,0.00
31.181171,0.36,0.00,0.36,-0.10,0.00
32.185686,0.49,-0.03,0.49,-0.20,0.00
33.192587,0.52,-0.02,0.52,-0.30,0.00
34.199774,0.62,-0.02,0.62,-0.20,0.00
35.204143,0.97,-0.03,0.97,-0.30,0.00
36.212935,1.50,-0.02,1.50,-0.50,0.00
37.215236,1.63,0.01,1.63,-0.10,0.00
38.221788,1.82,0.00,1.82,-0.10,0.00
39.225889,1.96,-0.02,1.96,-0.10,0.00
40.233834,2.17,-0.01,2.17,-0.10,0.00
41.237294,2.27,0.00,2.27,-0.10,0.00
42.244832,2.44,-0.01,2.44,-0.10,0.00
43.248334,2.43,0.02,2.43,-0.10,0.00
44.255163,2.54,0.01,2.54,0.00,0.00
45.259207,2.52,0.01,2.52,-0.10,0.00
46.266953,2.63,-0.02,2.63,-0.20,0.00
47.274387,2.57,0.01,2.57,-0.20,0.00
48.277926,2.54,0.00,2.54,0.10,0.00
49.285031,2.55,0.02,2.55,-0.10,0.00
50.293269,2.54,-0.01,2.54,-0.10,0.00
51.29673,2.53,0.00,2.53,0.00,0.00
52.300158,2.54,0.01,2.54,-0.20,0.00
53.307745,2.57,0.00,2.57,-0.10,0.00
54.314389,2.68,-0.02,2.68,-0.10,0.00
55.318797,2.82,0.01,2.82,-0.20,0.00
56.32582,2.92,-0.01,2.92,0.10,0.00
57.329315,3.00,-0.01,3.00,0.20,0.00
58.333867,3.06,0.01,3.06,0.00,0.00
59.340918,3.14,0.03,3.14,0.00,0.00
60.347925,3.22,0.04,3.22,0.20,0.00
61.352045,3.34,0.02,3.34,0.30,0.00
62.359503,3.64,0.03,3.64,0.40,0.00
63.363054,3.88,0.06,3.88,0.40,4.00
64.370635,4.06,0.06,4.06,0.60,4.00
65.374196,4.18,0.08,4.18,0.50,4.00
66.381737,4.18,0.06,4.18,0.80,4.00
67.38921,4.18,0.07,4.18,0.50,4.00
68.392782,4.17,0.07,4.17,0.70,4.00
69.400245,4.18,0.08,4.18,0.70,4.00
70.403904,4.18,0.10,4.18,0.60,4.00
71.410942,4.18,0.07,4.18,0.50,4.00
72.414986,4.23,0.07,4.23,0.60,4.00
73.422492,4.24,0.07,4.24,0.90,4.00
74.426014,4.24,0.08,4.24,0.80,4.00
75.433202,4.24,0.02,4.24,0.20,0.00
76.441133,4.24,0.06,4.24,0.20,0.00
77.444059,4.24,0.05,4.24,0.60,4.00
78.452281,4.24,0.06,4.24,0.30,0.00
79.455915,4.24,0.05,4.24,0.30,0.00
80.462904,4.24,0.05,4.24,0.40,0.00
81.466586,4.51,0.07,4.51,0.70,4.00
82.473955,4.77,0.05,4.77,0.80,4.00
83.481914,4.83,0.06,4.83,0.60,4.00
91.055121,5.00,0.06,5.00,0.20,4.00
91.24901,5.07,0.04,5.07,0.70,4.00
91.378935,5.07,0.07,5.07,0.60,4.00
91.472882,5.44,0.10,5.44,0.60,4.00
91.578006,5.48,0.06,5.48,0.40,4.00
91.644973,6.11,0.07,6.11,0.80,6.00
91.704928,6.24,0.09,6.24,0.90,6.00
91.802873,6.39,0.09,6.39,0.60,4.00
92.532993,6.49,0.08,6.49,0.70,4.00
93.537072,6.53,0.11,6.53,0.90,6.00
94.544654,6.87,0.07,6.87,1.00,4.00
95.54905,6.95,0.12,6.95,0.70,4.00
96.55598,7.02,0.10,7.02,0.90,6.00
97.558763,7.15,0.11,7.15,1.10,6.00
98.566995,7.26,0.06,7.26,1.20,10.00
99.574651,7.30,0.09,7.30,0.90,6.00
100.578298,7.49,0.07,7.49,0.80,6.00
101.585049,8.18,0.10,8.18,0.90,6.00
102.592654,8.42,0.15,8.42,1.20,10.00
103.596651,8.42,0.12,8.42,1.20,10.00
104.600195,8.72,0.11,8.72,1.10,6.00
105.607692,8.76,0.09,8.76,1.10,10.00
106.614964,8.83,0.12,8.83,1.00,10.00
107.618742,8.89,0.11,8.89,1.00,14.00
108.626208,9.07,0.13,9.07,1.50,14.00
109.634066,9.28,0.14,9.28,1.20,10.00
110.637192,9.31,0.15,9.31,1.20,10.00
111.645135,9.31,0.11,9.31,1.10,10.00
112.648582,9.31,0.13,9.31,1.20,14.00
113.656135,9.31,0.10,9.31,1.20,10.00
114.663179,9.68,0.16,9.68,1.30,14.00
115.67066,10.17,0.15,10.17,1.30,16.00
