Time (m:s:mu_s):,Bus Voltage (V):,Shunt Voltage (mV):,Load Voltage (V):,Current (mA):,Power (mW):
0.0,0.03,-0.04,0.03,-0.10,0.00
1.003525,0.03,-0.03,0.03,-0.20,0.00
2.011311,0.03,0.00,0.03,-0.10,0.00
3.018957,0.03,-0.02,0.03,-0.20,0.00
4.022476,0.03,-0.01,0.03,-0.20,0.00
5.029904,0.03,-0.02,0.03,-0.10,0.00
6.033521,0.03,-0.02,0.03,-0.40,0.00
7.040595,0.03,0.00,0.03,-0.20,0.00
8.044514,0.03,-0.02,0.03,0.20,0.00
9.052071,0.03,0.00,0.03,-0.20,0.00
10.055594,0.03,-0.03,0.03,-0.20,0.00
11.063094,0.03,-0.01,0.03,-0.30,0.00
12.070562,0.03,-0.02,0.03,-0.20,0.00
13.074265,0.03,-0.02,0.03,-0.20,0.00
14.080969,0.03,-0.01,0.03,-0.20,0.00
21.454757,0.03,-0.02,0.03,-0.30,0.00
21.48274,0.03,-0.03,0.03,-0.10,0.00
21.514722,0.03,-0.02,0.03,-0.10,0.00
21.539708,0.03,-0.01,0.03,-0.10,0.00
21.584688,0.03,-0.01,0.03,0.00,0.00
21.617662,0.03,-0.02,0.03,-0.10,0.00
21.664635,0.03,-0.02,0.03,0.00,0.00
22.126369,0.03,-0.03,0.03,-0.20,0.00
23.132796,0.03,-0.01,0.03,-0.30,0.00
24.137215,0.03,-0.04,0.03,-0.20,0.00
25.144155,0.03,-0.04,0.03,-0.10,0.00
26.148191,0.03,-0.03,0.03,-0.40,0.00
27.155865,0.03,-0.04,0.03,-0.40,0.00
28.15886,0.03,-0.04,0.03,-0.40,0.00
29.166972,0.03,0.02,0.03,-0.10,0.00
30.173983,0.03,-0.06,0.03,-0.30,0.00
31.177856,0.03,-0.01,0.03,0.00,0.00
32.225315,0.03,-0.02,0.03,-0.20,0.00
33.195291,0.03,-0.01,0.03,-0.10,0.00
34.195933,0.03,-0.01,0.03,0.10,0.00
35.19973,0.03,-0.01,0.03,-0.40,0.00
36.207701,0.03,-0.02,0.03,-0.30,0.00
37.210812,0.03,-0.03,0.03,-0.30,0.00
38.219301,0.03,-0.01,0.03,-0.10,0.00
39.222229,0.03,0.00,0.03,-0.40,0.00
40.230453,0.03,-0.02,0.03,-0.40,0.00
41.237395,0.03,-0.02,0.03,-0.20,0.00
42.240868,0.03,-0.03,0.03,-0.40,0.00
43.247866,0.03,-0.02,0.03,-0.30,0.00
44.25199,0.03,-0.02,0.03,-0.20,0.00
45.25951,0.03,-0.02,0.03,-0.40,0.00
46.263,0.03,-0.01,0.03,-0.10,0.00
47.270747,0.03,-0.04,0.03,-0.20,0.00
48.277711,0.03,-0.02,0.03,-0.20,0.00
49.281723,0.03,-0.01,0.03,-0.30,0.00
50.285145,0.03,0.00,0.03,-0.30,0.00
51.29291,0.03,-0.03,0.03,-0.20,0.00
52.300319,0.03,-0.01,0.03,-0.40,0.00
53.303855,0.03,-0.01,0.03,-0.40,0.00
54.311348,0.03,-0.03,0.03,-0.20,0.00
55.318637,0.03,-0.02,0.03,-0.10,0.00
56.32226,0.03,-0.02,0.03,-0.30,0.00
57.330015,0.03,-0.03,0.03,-0.20,0.00
58.333533,0.03,-0.01,0.03,-0.20,0.00
59.336726,0.03,0.00,0.03,-0.10,0.00
60.344525,0.02,-0.02,0.02,-0.20,0.00
61.351942,0.03,-0.01,0.03,-0.20,0.00
62.355649,0.03,-0.03,0.03,-0.20,0.00
63.362712,0.03,-0.02,0.03,-0.10,0.00
64.370787,0.03,-0.02,0.03,-0.30,0.00
65.373871,0.03,-0.02,0.03,-0.30,0.00
66.377722,0.03,0.00,0.03,-0.20,0.00
67.385619,0.03,-0.01,0.03,-0.30,0.00
68.3929,0.03,-0.03,0.03,-0.30,0.00
69.396482,0.03,-0.02,0.03,-0.40,0.00
70.403976,0.03,-0.02,0.03,-0.20,0.00
71.40752,0.02,-0.01,0.02,-0.20,0.00
72.41439,0.03,-0.02,0.03,0.10,0.00
73.422,0.04,-0.03,0.04,-0.10,0.00
74.426167,0.04,-0.02,0.04,-0.50,0.00
81.476485,0.09,-0.03,0.09,-0.30,0.00
81.675372,0.05,-0.01,0.05,0.00,0.00
81.823286,0.04,0.01,0.04,-0.10,0.00
81.983193,0.04,-0.02,0.04,-0.40,0.00
82.076141,0.03,0.01,0.03,0.20,0.00
82.1461,0.07,-0.05,0.07,-0.30,0.00
82.215061,0.05,-0.03,0.05,-0.40,0.00
82.474014,0.05,-0.02,0.05,-0.10,0.00
83.47752,0.05,-0.02,0.05,-0.20,0.00
84.481759,0.04,0.00,0.04,-0.30,0.00
85.489268,0.04,-0.04,0.04,-0.20,0.00
86.492097,0.04,0.00,0.04,-0.10,0.00
87.500071,0.04,-0.04,0.04,-0.10,0.00
88.507567,0.04,-0.03,0.04,-0.10,0.00
89.511283,0.03,-0.01,0.03,-0.30,0.00
90.518749,0.03,-0.02,0.03,-0.20,0.00
91.526388,0.03,-0.01,0.03,-0.40,0.00
92.529854,0.03,-0.03,0.03,-0.20,0.00
93.533385,0.03,0.00,0.03,-0.50,0.00
94.540728,0.03,-0.02,0.03,0.00,0.00
95.54823,0.03,-0.01,0.03,-0.10,0.00
96.551997,0.03,-0.02,0.03,-0.10,0.00
97.559492,0.03,-0.03,0.03,-0.30,0.00
98.563514,0.03,-0.01,0.03,-0.10,0.00
99.570085,0.03,-0.01,0.03,-0.10,0.00
100.578212,0.03,-0.04,0.03,-0.10,0.00
101.58166,0.03,0.00,0.03,-0.30,0.00
102.589292,0.03,-0.02,0.03,-0.20,0.00
103.592851,0.04,-0.01,0.04,-0.30,0.00
104.600332,0.04,-0.03,0.04,-0.20,0.00
105.603884,0.03,-0.01,0.03,-0.30,0.00
106.611749,0.03,-0.04,0.03,-0.20,0.00
107.614943,0.03,-0.04,0.03,-0.10,0.00
108.622201,0.03,-0.04,0.03,0.00,0.00
109.630068,0.03,-0.01,0.03,-0.10,0.00
110.633603,0.03,0.01,0.03,-0.20,0.00
111.640899,0.03,-0.02,0.03,-0.10,0.00
112.648142,25.05,0.75,25.05,7.70,190.00
113.652147,25.06,0.80,25.06,8.10,200.00
114.659783,25.07,0.72,25.07,6.70,168.00
115.66738,25.07,0.65,25.07,6.30,158.00
116.670747,25.07,0.67,25.07,6.90,170.00
117.678365,25.08,0.56,25.08,5.20,132.00
118.68228,25.08,0.49,25.08,4.80,122.00
119.689451,25.08,0.48,25.08,4.80,122.00
120.693531,25.08,0.38,25.08,4.10,92.00
121.700638,25.09,0.29,25.09,3.00,76.00
122.707522,25.09,0.36,25.09,3.20,92.00
123.711709,25.08,0.44,25.08,4.60,114.00
124.71938,25.08,0.48,25.08,5.20,132.00
125.726832,25.08,0.45,25.08,4.70,112.00
126.730198,25.09,0.35,25.09,3.40,86.00
127.737444,25.09,0.33,25.09,3.30,82.00
128.741332,23.57,0.28,23.57,3.10,68.00
129.74827,22.94,0.30,22.94,2.90,66.00
130.752291,22.54,0.29,22.54,2.70,62.00
