Time (m:s:mu_s):,Bus Voltage (V):,Shunt Voltage (mV):,Load Voltage (V):,Current (mA):,Power (mW):
0.0,25.16,0.00,25.16,0.10,4.00
1.007643,25.16,0.01,25.16,0.10,4.00
2.015423,25.15,0.08,25.15,1.00,22.00
3.019086,25.16,0.11,25.16,0.80,20.00
4.026425,25.15,0.09,25.15,0.80,20.00
5.029817,25.15,0.11,25.15,1.00,30.00
6.037308,25.16,0.08,25.16,0.90,22.00
7.045136,25.15,0.09,25.15,0.90,22.00
8.048419,25.15,0.09,25.15,0.90,30.00
9.055845,25.15,0.11,25.15,0.90,22.00
10.0593,25.15,0.08,25.15,0.90,22.00
11.067686,25.16,0.09,25.16,0.90,26.00
12.071119,25.16,0.00,25.16,0.00,0.00
13.081663,25.16,-0.01,25.16,-0.10,6.00
14.085408,25.16,0.01,25.16,0.10,4.00
15.089097,25.15,0.08,25.15,0.90,22.00
16.096934,25.15,0.10,25.15,0.70,30.00
17.104094,25.16,0.10,25.16,1.20,30.00
18.108168,25.15,0.09,25.15,1.00,26.00
19.115785,25.15,0.09,25.15,1.00,26.00
20.119288,25.16,0.10,25.16,0.90,22.00
21.126855,25.15,0.09,25.15,1.00,26.00
22.13428,25.15,0.10,25.15,1.20,26.00
23.137287,25.16,0.10,25.16,1.10,26.00
24.145311,25.16,0.11,25.16,0.90,22.00
25.149274,25.16,-0.01,25.16,0.20,0.00
26.156437,25.16,0.01,25.16,0.10,4.00
27.164023,25.16,0.01,25.16,-0.10,4.00
28.16681,25.16,0.01,25.16,0.00,6.00
29.175074,25.16,-0.02,25.16,0.10,4.00
30.178624,25.16,0.00,25.16,0.10,0.00
31.185841,25.16,0.00,25.16,0.20,6.00
32.189711,25.16,0.01,25.16,0.10,0.00
33.215635,25.16,0.01,25.16,-0.20,4.00
36.709247,25.16,0.01,25.16,0.10,4.00
37.277867,25.16,0.01,25.16,-0.10,4.00
37.415788,25.16,-0.01,25.16,-0.10,4.00
37.485749,25.16,-0.01,25.16,0.20,6.00
38.226673,25.16,0.00,25.16,0.00,6.00
39.230695,25.16,0.00,25.16,0.30,6.00
40.256921,25.16,-0.01,25.16,0.00,6.00
41.2451,25.16,-0.03,25.16,-0.10,4.00
42.249393,25.16,-0.01,25.16,0.00,0.00
43.256255,25.16,-0.01,25.16,0.10,6.00
44.260121,25.16,0.01,25.16,0.20,6.00
45.268073,25.16,0.01,25.16,0.10,4.00
46.271061,25.16,0.01,25.16,0.10,4.00
47.278655,25.16,0.00,25.16,0.10,4.00
48.286389,25.16,-0.01,25.16,0.00,4.00
49.289751,25.16,0.01,25.16,0.20,6.00
50.297135,25.15,0.00,25.15,0.10,4.00
51.300627,25.16,0.00,25.16,0.00,0.00
52.307967,25.16,0.01,25.16,0.30,6.00
53.316261,25.16,0.01,25.16,-0.10,4.00
54.319874,25.16,-0.02,25.16,0.10,4.00
55.327137,25.16,0.00,25.16,0.10,4.00
56.334817,25.16,0.01,25.16,-0.10,0.00
57.338288,25.16,-0.01,25.16,0.10,4.00
58.345249,25.16,-0.01,25.16,0.10,4.00
