Time (m:s:mu_s):,Bus Voltage (V):,Shunt Voltage (mV):,Load Voltage (V):,Current (mA):,Power (mW):
0.0,0.88,-0.02,0.88,-0.30,0.00
1.007584,0.88,-0.04,0.88,-0.30,0.00
2.012028,0.88,-0.03,0.88,-0.30,0.00
3.021623,0.88,-0.02,0.88,-0.30,0.00
4.025749,0.88,-0.04,0.88,-0.30,0.00
5.02995,0.88,-0.01,0.88,-0.10,0.00
6.0374,0.88,-0.01,0.88,-0.40,0.00
7.040341,0.88,-0.02,0.88,-0.30,0.00
8.04828,0.88,-0.03,0.88,-0.30,0.00
9.051892,0.88,-0.01,0.88,-0.30,0.00
10.05956,0.88,-0.01,0.88,-0.30,0.00
11.063408,0.88,-0.01,0.88,-0.20,0.00
12.070659,0.88,-0.03,0.88,-0.10,0.00
13.074087,0.88,-0.05,0.88,0.00,0.00
14.081434,0.88,-0.02,0.88,-0.20,0.00
15.088747,0.88,-0.07,0.88,-0.20,0.00
16.092614,0.88,-0.03,0.88,-0.40,0.00
17.100102,0.88,-0.03,0.88,-0.10,0.00
18.104069,0.88,-0.03,0.88,0.00,0.00
19.111422,0.88,-0.05,0.88,-0.20,0.00
20.119041,0.88,-0.04,0.88,-0.20,0.00
21.122074,0.88,-0.04,0.88,-0.30,0.00
22.130097,0.88,-0.04,0.88,-0.30,0.00
23.134002,0.88,-0.02,0.88,-0.10,0.00
24.140724,0.88,-0.04,0.88,-0.20,0.00
25.144613,0.88,-0.02,0.88,-0.10,0.00
26.152237,0.88,-0.03,0.88,-0.40,0.00
27.156042,0.88,-0.03,0.88,-0.40,0.00
28.163254,0.88,-0.03,0.88,-0.20,0.00
29.170505,0.88,-0.03,0.88,-0.40,0.00
30.174248,0.88,-0.03,0.88,-0.30,0.00
31.181809,0.88,-0.02,0.88,-0.40,0.00
32.185624,0.88,-0.02,0.88,-0.20,0.00
33.192959,0.88,-0.03,0.88,0.10,0.00
34.195981,0.88,-0.04,0.88,-0.30,0.00
35.203921,0.88,-0.03,0.88,-0.60,0.00
36.20726,0.88,-0.03,0.88,-0.30,0.00
37.215232,0.88,-0.03,0.88,0.00,0.00
38.222269,0.88,-0.02,0.88,-0.20,0.00
39.225702,0.88,-0.03,0.88,-0.10,0.00
40.233869,0.88,-0.02,0.88,-0.20,0.00
41.237251,0.89,-0.05,0.89,-0.40,0.00
42.244769,0.88,-0.05,0.88,-0.30,0.00
43.248351,0.88,-0.01,0.88,-0.50,0.00
44.25561,0.88,-0.02,0.88,-0.30,0.00
45.263409,0.88,-0.03,0.88,-0.10,0.00
46.267043,0.88,-0.02,0.88,-0.30,0.00
47.273791,0.88,-0.04,0.88,-0.20,0.00
48.278939,0.88,-0.01,0.88,-0.40,0.00
55.101159,0.88,-0.03,0.88,-0.60,0.00
55.154127,0.88,-0.02,0.88,-0.30,0.00
55.202099,0.88,-0.01,0.88,-0.20,0.00
55.235081,0.88,-0.01,0.88,-0.40,0.00
55.277057,0.88,-0.01,0.88,-0.30,0.00
55.320034,0.88,-0.02,0.88,0.00,0.00
55.35701,0.88,-0.02,0.88,-0.30,0.00
56.3263,0.88,-0.04,0.88,-0.10,0.00
57.329873,0.88,-0.01,0.88,-0.10,0.00
58.337021,0.88,-0.03,0.88,-0.30,0.00
