Time (m:s:mu_s):,Bus Voltage (V):,Shunt Voltage (mV):,Load Voltage (V):,Current (mA):,Power (mW):
0.0,25.14,0.00,25.14,0.10,4.00
1.007127,25.14,-0.03,25.14,0.00,0.00
2.010865,25.14,0.01,25.14,0.20,6.00
3.018401,25.14,0.02,25.14,0.00,0.00
4.026129,25.14,0.30,25.14,3.00,82.00
5.029443,25.14,0.34,25.14,3.20,88.00
6.037367,25.14,0.37,25.14,3.60,88.00
7.044874,25.14,0.40,25.14,3.70,98.00
8.048566,25.14,0.36,25.14,3.90,98.00
9.055999,25.14,0.41,25.14,3.90,98.00
10.059443,25.14,0.40,25.14,3.90,98.00
11.066474,25.14,0.40,25.14,4.10,102.00
12.074316,25.14,0.40,25.14,3.90,98.00
13.078146,25.14,0.42,25.14,3.80,102.00
14.08498,25.14,0.01,25.14,0.10,4.00
15.089235,25.14,0.00,25.14,-0.30,4.00
16.09683,25.14,0.01,25.14,0.30,6.00
17.104463,25.14,-0.01,25.14,0.10,4.00
18.107898,25.14,0.01,25.14,0.10,4.00
19.111437,25.14,0.00,25.14,0.00,0.00
20.118835,25.14,0.01,25.14,-0.30,6.00
21.126598,25.14,-0.01,25.14,0.10,4.00
22.129564,25.14,0.01,25.14,0.10,4.00
23.137696,25.14,0.00,25.14,0.20,6.00
24.145104,25.14,-0.01,25.14,0.20,6.00
25.14875,25.14,0.02,25.14,0.30,0.00
26.156393,25.14,0.01,25.14,-0.10,6.00
27.159804,25.14,0.33,25.14,3.40,86.00
28.16743,25.14,0.40,25.14,3.90,98.00
29.175076,25.14,0.40,25.14,3.90,98.00
30.178539,25.14,0.02,25.14,0.40,10.00
31.186064,25.14,0.00,25.14,0.10,4.00
32.193124,25.14,0.34,25.14,3.20,82.00
33.197197,25.14,0.29,25.14,2.80,68.00
34.203853,25.14,0.30,25.14,3.00,68.00
35.208278,25.14,0.30,25.14,2.80,68.00
36.215699,25.14,0.32,25.14,3.00,76.00
37.219642,25.14,0.34,25.14,3.30,82.00
38.226484,25.15,0.01,25.15,0.10,4.00
41.027582,25.15,-0.01,25.15,0.10,0.00
41.115531,25.15,0.01,25.15,-0.10,4.00
41.241461,25.15,0.01,25.15,0.10,4.00
42.248956,25.15,-0.01,25.15,0.10,4.00
43.256154,25.15,-0.02,25.15,0.10,4.00
44.260274,25.15,-0.01,25.15,0.00,6.00
45.26773,25.14,0.00,25.14,-0.10,0.00
46.275155,25.15,0.00,25.15,-0.10,4.00
47.278584,25.15,0.02,25.15,0.20,6.00
48.286826,25.15,-0.02,25.15,0.10,4.00
49.290021,25.15,0.03,25.15,0.00,6.00
50.297638,25.15,0.01,25.15,-0.10,10.00
51.30118,25.15,0.01,25.15,0.10,4.00
52.322971,25.14,0.00,25.14,-0.10,4.00
53.315202,25.15,0.01,25.15,-0.10,4.00
54.319444,25.15,0.02,25.15,0.10,4.00
55.326868,25.15,0.00,25.15,0.10,4.00
56.330658,25.15,0.03,25.15,0.20,6.00
57.337652,25.15,0.01,25.15,-0.20,6.00
58.345846,25.15,-0.02,25.15,0.20,6.00
